"Date","Variable","Ensemble_Mean","Ensemble_Median","Ensemble_SD","N_Models","Ensemble_Lower","Ensemble_Upper"
2024-01-01,"prec",34.2597846241829,35.1253691879064,8.56885000579029,2,17.4648386128339,51.0547306355319
2024-01-01,"tavg",25.3861635457928,25.5327828572814,1.45145713169175,2,22.5413075676769,28.2310195239086
2024-02-01,"prec",66.2689361344313,68.7626603052994,24.6866098028149,2,17.883180920914,114.654691347949
2024-02-01,"tavg",26.3063810565801,26.4697898257362,1.61766428285927,2,23.1357590621759,29.4770030509842
2024-03-01,"prec",111.361634837797,116.764976218441,53.4903506384733,2,6.52054758638918,216.202722089204
2024-03-01,"tavg",27.936985244064,28.1020927003299,1.6344804273013,2,24.7334036065535,31.1405668815746
2024-04-01,"prec",221.786100201065,232.965860123117,110.673976740884,2,4.86510578893191,438.707094613198
2024-04-01,"tavg",28.4323863533528,28.5363432765427,1.02912103474416,2,26.4153091252543,30.4494635814514
2024-05-01,"prec",320.572822733884,334.224532345772,135.145030178976,2,55.688563583092,585.457081884677
2024-05-01,"tavg",28.8828731021767,28.8936764067235,0.106947258658861,2,28.6732564752054,29.0924897291481
2024-06-01,"prec",369.782274364828,370.049537208824,2.64576717088066,2,364.596570709902,374.967978019754
2024-06-01,"tavg",28.1394310064312,28.0921057419329,0.468496216275179,2,27.2211784225319,29.0576835903306
2024-07-01,"prec",326.802492727,314.776130059404,119.054916333717,2,93.4548567129147,560.150128741085
2024-07-01,"tavg",27.1510178267786,27.0340000002951,1.15841738076654,2,24.8805197604762,29.421515893081
2024-08-01,"prec",242.680351865465,226.779422489558,157.411169844211,2,-65.845541029188,551.206244760118
2024-08-01,"tavg",26.1146690826214,26.0021119592182,1.1142586732095,2,23.9307220831308,28.298616082112
2024-09-01,"prec",119.689111157462,110.214023075703,93.7985864893307,2,-64.1561183616258,303.534340676551
2024-09-01,"tavg",24.3432991660123,24.2620645365666,0.804181802875939,2,22.7671028323755,25.9194954996492
2024-10-01,"prec",59.8572491550509,55.9062116272278,39.1132760010479,2,-16.8047718070028,136.519270117105
2024-10-01,"tavg",23.8534819226828,23.8037287608477,0.492531173666959,2,22.8881208222955,24.81884302307
2024-11-01,"prec",29.5759822784773,28.708213098366,8.59047660465995,2,12.7386481333438,46.4133164236108
2024-11-01,"tavg",23.7670482407048,23.8060718937547,0.386314455776061,2,23.0098719073837,24.5242245740259
2024-12-01,"prec",32.0101787363349,32.1356192618195,1.24179784688092,2,29.5762549564483,34.4441025162215
2024-12-01,"tavg",23.8512443622734,23.9618893307164,1.09532930486326,2,21.7043989247414,25.9980897998054
2025-01-01,"prec",34.2487084637347,35.184958389062,9.26840139518096,2,16.08264172918,52.4147751982894
2025-01-01,"tavg",25.3382577493785,25.4984696261009,1.58601666239824,2,22.229665091078,28.4468504076791
2025-02-01,"prec",64.7527158731989,67.4916691814898,27.1142544070421,2,11.6087772353964,117.896654511001
2025-02-01,"tavg",26.3716450830373,26.5359185763269,1.6262246150401,2,23.1842448375587,29.5590453285159
2025-03-01,"prec",110.016454241115,115.643858858252,55.7084635136107,2,0.827865754438477,219.205042727792
2025-03-01,"tavg",28.0615558497939,28.2201597803054,1.57009880702493,2,24.9841621880251,31.1389495115628
2025-04-01,"prec",224.922033029685,235.765713635763,107.346961254108,2,14.5219889716334,435.322077087736
2025-04-01,"tavg",28.4250501982987,28.5389933731158,1.12797988216341,2,26.2142096292584,30.6358907673389
2025-05-01,"prec",326.145180983089,339.156258154622,128.80309257945,2,73.6911195273678,578.59924243881
2025-05-01,"tavg",28.9643058939604,28.9739993772937,0.095960589176295,2,28.7762231391749,29.1523886487459
2025-06-01,"prec",384.120151941745,382.651092428583,14.5429472121287,2,355.615975405973,412.624328477517
2025-06-01,"tavg",28.2121559016545,28.1648093044591,0.468707399201412,2,27.2934893992197,29.1308224040892
2025-07-01,"prec",324.046828664665,312.420836344831,115.091452103278,2,98.4675825422395,549.62607478709
2025-07-01,"tavg",27.1866672293537,27.0742625068001,1.11274998176992,2,25.0056772650846,29.3676571936227
2025-08-01,"prec",229.724860724263,215.499280080976,140.826063548578,2,-46.2942238309511,505.743945279476
2025-08-01,"tavg",26.2047323444694,26.0899865925885,1.13592498974271,2,23.9783193645737,28.4311453243651
2025-09-01,"prec",121.242435555429,111.629094263893,95.1672234394776,2,-65.2853223859474,307.770193496805
2025-09-01,"tavg",24.4372260525942,24.353319841579,0.830629111094837,2,22.8091929948483,26.0652591103401
2025-10-01,"prec",67.3779906604752,62.5427727844439,47.8662148811861,2,-26.4397905066496,161.1957718276
2025-10-01,"tavg",24.0076013922252,23.9476525759506,0.593463003165778,2,22.8444139060202,25.1707888784301
2025-11-01,"prec",30.0873907096803,29.2116078156385,8.66980832513843,2,13.094566392409,47.0802150269516
2025-11-01,"tavg",23.7756861228159,23.8226993198553,0.465406906045526,2,22.8634885869666,24.6878836586651
2025-12-01,"prec",31.8789880031682,32.0767397102685,1.95764202314596,2,28.0420096378021,35.7159663685343
2025-12-01,"tavg",24.0277370299611,24.1253896941965,0.966712055144981,2,22.132981401877,25.9224926580453
2026-01-01,"prec",34.8649240717928,35.7800593860827,9.05937741012773,2,17.1085443479425,52.6213037956432
2026-01-01,"tavg",25.4941568101723,25.6439505835488,1.48288270107665,2,22.587706716062,28.4006069042825
2026-02-01,"prec",68.0767761759602,70.4561342863759,23.5544435664457,2,21.9100667857267,114.243485566194
2026-02-01,"tavg",26.5913865425064,26.7372616326157,1.4440897159151,2,23.7609706993128,29.4218023857
