"variable","scenario","decade","mean_projected","max_projected","min_projected","change_from_baseline","impact_severity"
"prec","SSP1-2.6 (Sustainability)","2020s",166.600402931791,608.50943287692,11.5880127977355,7.00222840516934,"Low"
"prec","SSP1-2.6 (Sustainability)","2030s",186.351675072279,697.876224954986,15.2071790859179,19.6878527834875,"Moderate"
"prec","SSP1-2.6 (Sustainability)","2040s",204.938832230701,666.101282829621,17.9102464651781,31.625802516313,"Severe"
"prec","SSP2-4.5 (Middle of the Road)","2020s",173.636036519903,619.112500185551,14.6068646720279,11.5209958206265,"Moderate"
"prec","SSP2-4.5 (Middle of the Road)","2030s",197.482847244854,764.034731529307,20.6301664943399,26.8370565445056,"High"
"prec","SSP2-4.5 (Middle of the Road)","2040s",230.4882461585,835.332082384572,19.5342344223204,48.0353920287702,"Severe"
"prec","SSP3-7.0 (Regional Rivalry)","2020s",170.80874768772,625.225422607227,15.5889141149075,9.70511662667008,"Low"
"prec","SSP3-7.0 (Regional Rivalry)","2030s",186.908984959398,699.191428127352,18.3422073718283,20.0457954942167,"High"
"prec","SSP3-7.0 (Regional Rivalry)","2040s",196.443442818149,816.101757260817,13.4232737176619,26.1694795884212,"High"
"prec","SSP5-8.5 (Fossil-fueled Development)","2020s",173.960873640057,651.868965248318,16.385089508821,11.7296285436782,"Moderate"
"prec","SSP5-8.5 (Fossil-fueled Development)","2030s",172.614699784311,752.84617945027,10.8373408625646,10.8650231774802,"Moderate"
"prec","SSP5-8.5 (Fossil-fueled Development)","2040s",176.108715928235,669.400051181723,12.4508691313322,13.1091204719901,"Moderate"
"tavg","SSP1-2.6 (Sustainability)","2020s",26.2093413905006,30.3092831902087,21.8826675296523,0.428890963515194,"Low"
"tavg","SSP1-2.6 (Sustainability)","2030s",26.5228649061297,30.9123718093177,21.9864411950419,0.742414479144269,"Low"
"tavg","SSP1-2.6 (Sustainability)","2040s",26.9642210151316,31.7219141495858,22.2210619099637,1.18377058814624,"Low"
"tavg","SSP2-4.5 (Middle of the Road)","2020s",26.2235595433104,30.2621511970198,21.9380618232221,0.44310911632504,"Low"
"tavg","SSP2-4.5 (Middle of the Road)","2030s",26.6699009331545,31.0814718093177,22.2102783353009,0.889450506169148,"Low"
"tavg","SSP2-4.5 (Middle of the Road)","2040s",27.1859145821531,32.0090141495858,22.4006536603057,1.40546415516771,"Low"
"tavg","SSP3-7.0 (Regional Rivalry)","2020s",26.2490637531329,30.2131294690497,22.0142786989836,0.468613326147519,"Low"
"tavg","SSP3-7.0 (Regional Rivalry)","2030s",26.8621572443298,31.2866718093177,22.2116975811045,1.08170681734442,"Low"
"tavg","SSP3-7.0 (Regional Rivalry)","2040s",27.4592919301544,32.3802141495858,22.5163930634006,1.67884150316902,"Moderate"
"tavg","SSP5-8.5 (Fossil-fueled Development)","2020s",26.2803067909195,30.3112294690497,21.9899370169416,0.499856363934057,"Low"
"tavg","SSP5-8.5 (Fossil-fueled Development)","2030s",26.9934281217029,31.5127718093177,22.2853693296191,1.21297769471748,"Low"
"tavg","SSP5-8.5 (Fossil-fueled Development)","2040s",27.7378351771844,32.7543141495858,22.1146216313968,1.95738475019903,"Moderate"
