"Variable","Model_Order","Seasonal_Order","AIC","BIC","Sigma2","Ljung_Box_P","Residuals_OK"
"tavg","1,1,1","0,1,1",559.59,573.11,0.657273,0.995676111343592,TRUE
"prec","1,1,1","0,1,1",2241.98,2255.5,1459.816313,0.991301851178416,TRUE
