"Variable","Method","N_Changepoints","Key_Dates"
"tavg","PELT_Mean",1,"2013-02-01"
"tavg","PELT_Variance",0,"None"
"tavg","BinSeg",1,"2013-02-01"
"tavg","AMOC",1,"2013-02-01"
"tavg","PELT_MeanVar",0,"None"
"prec","PELT_Mean",16,"2001-09-01, 2003-04-01, 2004-05-01"
"prec","PELT_Variance",0,"None"
"prec","BinSeg",5,"2005-05-01, 2017-09-01, 2019-04-01"
"prec","AMOC",1,"2004-05-01"
"prec","PELT_MeanVar",0,"None"
